item_id,transaction_id,product_id,quantity,unit_price_at_sale,discount_applied
I0000001,T000001,P009,1,32.99,0.0
I0000002,T000001,P002,1,37.99,0.0
I0000003,T000001,P020,2,26.99,0.0
I0000004,T000001,P036,1,56.99,0.0
I0000005,T000001,P027,2,99.99,0.0
I0000006,T000001,P004,1,54.99,0.0
I0000007,T000001,P045,1,119.99,0.0
I0000008,T000001,P044,1,39.99,0.0
I0000009,T000001,P037,1,62.99,0.0
I0000010,T000002,P009,2,32.99,0.0
I0000011,T000002,P032,1,32.99,0.0
I0000012,T000002,P007,1,18.99,0.0
I0000013,T000002,P008,1,17.99,0.0
I0000014,T000002,P014,1,41.99,0.0
I0000015,T000002,P011,1,109.99,0.0
I0000016,T000002,P019,1,94.99,0.0
I0000017,T000002,P023,1,22.99,0.0
I0000018,T000003,P018,1,56.99,0.0
I0000019,T000003,P044,1,39.99,0.0
I0000020,T000003,P005,2,52.99,0.0
I0000021,T000003,P031,1,41.99,0.0
I0000022,T000003,P010,1,16.99,0.0
I0000023,T000003,P045,1,119.99,0.0
I0000024,T000003,P046,1,64.99,0.0
I0000025,T000003,P017,1,42.99,0.0
I0000026,T000003,P003,1,74.99,0.0
I0000027,T000003,P023,1,22.99,0.0
I0000028,T000003,P012,1,54.99,0.0
I0000029,T000003,P007,1,18.99,0.0
I0000030,T000004,P018,1,56.99,0.0
I0000031,T000004,P047,1,149.99,0.0
I0000032,T000004,P025,1,41.99,0.0
I0000033,T000004,P022,1,18.99,0.0
I0000034,T000004,P003,1,74.99,0.0
I0000035,T000004,P021,1,47.99,0.0
I0000036,T000004,P046,1,64.99,0.0
I0000037,T000004,P010,1,16.99,0.0
I0000038,T000005,P015,1,19.99,0.0
I0000039,T000005,P003,1,74.99,0.0
I0000040,T000005,P026,1,94.99,0.0
I0000041,T000005,P005,1,52.99,0.0
I0000042,T000006,P016,1,32.99,0.0
I0000043,T000006,P030,1,139.99,0.0
I0000044,T000006,P027,1,99.99,0.0
I0000045,T000007,P020,1,26.99,0.0
I0000046,T000007,P008,1,17.99,0.0
I0000047,T000007,P016,1,32.99,0.0
I0000048,T000007,P027,1,99.99,0.0
I0000049,T000007,P046,1,64.99,0.0
I0000050,T000007,P005,1,52.99,0.0
I0000051,T000007,P012,1,54.99,0.0
I0000052,T000007,P014,2,41.99,0.0
I0000053,T000007,P006,1,21.99,0.0
I0000054,T000007,P045,1,119.99,0.0
I0000055,T000008,P037,1,62.99,0.0
I0000056,T000008,P043,1,59.99,0.0
I0000057,T000008,P045,1,119.99,0.0
I0000058,T000008,P003,1,74.99,0.0
I0000059,T000009,P045,2,119.99,0.0
I0000060,T000009,P036,1,56.99,0.0
I0000061,T000009,P016,1,32.99,0.0
I0000062,T000009,P011,2,109.99,0.0
I0000063,T000009,P035,1,14.99,0.0
I0000064,T000009,P010,1,16.99,0.0
I0000065,T000009,P030,2,139.99,0.0
I0000066,T000009,P004,1,54.99,0.0
I0000067,T000009,P037,1,62.99,0.0
I0000068,T000009,P009,1,32.99,0.0
I0000069,T000010,P023,1,22.99,0.0
I0000070,T000010,P007,1,18.99,0.0
I0000071,T000010,P003,1,74.99,0.0
I0000072,T000010,P015,1,19.99,0.0
I0000073,T000010,P022,1,18.99,0.0
I0000074,T000011,P009,1,32.99,0.0
I0000075,T000011,P032,2,32.99,0.0
I0000076,T000011,P004,1,54.99,0.0
I0000077,T000011,P006,1,21.99,0.0
I0000078,T000012,P013,1,79.99,0.0
I0000079,T000012,P020,1,26.99,0.0
I0000080,T000012,P030,1,139.99,0.0
I0000081,T000012,P008,1,17.99,0.0
I0000082,T000012,P004,1,54.99,0.0
I0000083,T000013,P002,1,37.99,0.0
I0000084,T000013,P009,1,32.99,0.0
I0000085,T000014,P004,1,54.99,0.0
I0000086,T000014,P031,2,41.99,0.0
I0000087,T000015,P024,1,32.99,0.0
I0000088,T000015,P028,1,56.99,0.0
I0000089,T000015,P021,2,47.99,0.0
I0000090,T000015,P017,1,42.99,0.0
I0000091,T000015,P012,1,54.99,0.0
