transaction_id,store_id,customer_id,transaction_date,payment_method
T000001,S007,,2024-01-01 19:54:00,SnapScan
T000002,S009,C02951,2024-01-01 11:01:00,Cash
T000003,S010,C00279,2024-01-01 11:56:00,Card
T000004,S011,C02656,2024-01-01 13:10:00,Card
T000005,S014,C00331,2024-01-01 14:03:00,Card
T000006,S018,,2024-01-01 19:45:00,EFT
T000007,S025,C01293,2024-01-01 12:40:00,Card
T000008,S027,C00022,2024-01-01 18:45:00,Card
T000009,S035,C02113,2024-01-01 10:13:00,Card
T000010,S037,C01642,2024-01-01 10:07:00,Cash
T000011,S042,C00386,2024-01-01 13:51:00,Card
T000012,S045,,2024-01-01 12:01:00,Cash
T000013,S004,,2024-01-02 12:38:00,SnapScan
T000014,S005,,2024-01-02 19:52:00,Card
T000015,S007,C02417,2024-01-02 19:48:00,Card
T000016,S009,C00407,2024-01-02 16:56:00,EFT
T000017,S010,,2024-01-02 12:52:00,Card
T000018,S014,,2024-01-02 20:52:00,Card
T000019,S020,C00067,2024-01-02 10:27:00,Card
T000020,S021,,2024-01-02 13:51:00,Card
T000021,S025,C01796,2024-01-02 10:20:00,Card
T000022,S026,C00425,2024-01-02 12:24:00,Card
T000023,S029,C00385,2024-01-02 09:13:00,Card
T000024,S033,,2024-01-02 16:42:00,Cash
T000025,S038,C00656,2024-01-02 10:53:00,Card
T000026,S042,C02262,2024-01-02 14:42:00,Cash
T000027,S002,,2024-01-03 12:00:00,Card
T000028,S004,,2024-01-03 16:20:00,Card
T000029,S007,,2024-01-03 14:55:00,Cash
T000030,S008,C02868,2024-01-03 11:31:00,Card
T000031,S009,C02182,2024-01-03 10:27:00,Card
T000032,S012,C02703,2024-01-03 08:02:00,Card
T000033,S015,C02417,2024-01-03 12:10:00,EFT
T000034,S017,C01594,2024-01-03 14:10:00,Cash
T000035,S022,C01477,2024-01-03 14:31:00,Cash
T000036,S024,C02875,2024-01-03 17:39:00,Card
T000037,S026,C00403,2024-01-03 17:57:00,Card
T000038,S028,C02543,2024-01-03 16:13:00,Cash
T000039,S030,,2024-01-03 13:47:00,Card
T000040,S032,,2024-01-03 17:25:00,Cash
T000041,S034,,2024-01-03 14:04:00,SnapScan
T000042,S035,C02687,2024-01-03 14:39:00,Card
T000043,S041,,2024-01-03 15:17:00,Cash
T000044,S044,,2024-01-03 12:49:00,Card
T000045,S045,,2024-01-03 12:08:00,Cash
T000046,S007,,2024-01-04 15:35:00,Card
T000047,S009,,2024-01-04 17:08:00,Card
T000048,S010,,2024-01-04 17:34:00,Card
T000049,S011,C01895,2024-01-04 14:10:00,Cash
T000050,S014,,2024-01-04 14:59:00,Card
T000051,S017,C01102,2024-01-04 15:14:00,Card
T000052,S018,,2024-01-04 08:59:00,Card
T000053,S019,,2024-01-04 18:18:00,Card
T000054,S024,C02549,2024-01-04 13:21:00,Card
T000055,S026,,2024-01-04 10:31:00,Cash
T000056,S032,,2024-01-04 16:04:00,Card
T000057,S038,C02496,2024-01-04 14:41:00,Card
T000058,S042,C02631,2024-01-04 19:22:00,Cash
T000059,S004,C02399,2024-01-05 09:03:00,Cash
T000060,S005,C00076,2024-01-05 14:50:00,Cash
T000061,S011,C01924,2024-01-05 17:02:00,Cash
T000062,S018,C02467,2024-01-05 17:34:00,Cash
T000063,S023,C02413,2024-01-05 10:36:00,Cash
T000064,S025,,2024-01-05 17:39:00,Card
T000065,S026,C01182,2024-01-05 10:49:00,SnapScan
T000066,S028,C01578,2024-01-05 19:47:00,Card
T000067,S035,C01651,2024-01-05 15:55:00,EFT
T000068,S036,C00285,2024-01-05 14:33:00,Card
T000069,S042,C00844,2024-01-05 16:21:00,Card
T000070,S045,C00725,2024-01-05 14:40:00,Cash
T000071,S004,,2024-01-06 17:59:00,Cash
T000072,S006,,2024-01-06 15:25:00,EFT
T000073,S007,C00977,2024-01-06 13:44:00,Card
T000074,S009,,2024-01-06 15:31:00,Cash
T000075,S010,,2024-01-06 10:29:00,Card
T000076,S011,C00713,2024-01-06 15:03:00,Card
T000077,S012,,2024-01-06 16:29:00,Cash
T000078,S013,C02751,2024-01-06 15:34:00,Card
T000079,S017,,2024-01-06 15:31:00,Card
T000080,S025,,2024-01-06 13:40:00,Card
T000081,S026,,2024-01-06 10:12:00,Card
T000082,S028,C00217,2024-01-06 10:36:00,Card
T000083,S029,C02651,2024-01-06 13:28:00,SnapScan
T000084,S031,,2024-01-06 09:58:00,Card
T000085,S033,,2024-01-06 15:04:00,Card
T000086,S035,C01789,2024-01-06 16:58:00,Card
T000087,S039,,2024-01-06 14:49:00,Card
T000088,S044,,2024-01-06 10:57:00,Cash
T000089,S008,C01863,2024-01-07 10:53:00,Cash
T000090,S009,,2024-01-07 15:35:00,Card
T000091,S010,C00747,2024-01-07 13:38:00,Card
T000092,S011,C00089,2024-01-07 14:47:00,Card
T000093,S012,,2024-01-07 08:02:00,Card
T000094,S013,,2024-01-07 09:16:00,Card
T000095,S014,C02716,2024-01-07 17:31:00,Card
T000096,S019,C00536,2024-01-07 15:22:00,Cash
T000097,S025,C01534,2024-01-07 13:15:00,Cash
T000098,S026,,2024-01-07 15:36:00,Card
T000099,S027,,2024-01-07 12:43:00,Cash
T000100,S035,C02045,2024-01-07 18:35:00,Card
T000101,S036,C02374,2024-01-07 18:51:00,Cash
T000102,S037,C00248,2024-01-07 15:08:00,Card
T000103,S039,C00765,2024-01-07 15:21:00,Card
T000104,S040,,2024-01-07 15:18:00,Cash
T000105,S044,,2024-01-07 10:53:00,Card
T000106,S045,,2024-01-07 17:15:00,Cash
T000107,S006,C01050,2024-01-08 09:24:00,Cash
T000108,S007,C01794,2024-01-08 14:26:00,Card
T000109,S012,,2024-01-08 15:06:00,Card
T000110,S014,C00040,2024-01-08 15:51:00,EFT
T000111,S018,C02697,2024-01-08 16:42:00,Card
T000112,S022,C01496,2024-01-08 13:52:00,EFT
T000113,S024,C00754,2024-01-08 15:34:00,Card
T000114,S025,C01484,2024-01-08 13:19:00,Cash
T000115,S029,,2024-01-08 15:09:00,Card
T000116,S032,C01018,2024-01-08 17:56:00,Card
T000117,S035,,2024-01-08 10:32:00,Card
T000118,S043,C01225,2024-01-08 14:11:00,Card
T000119,S001,C00414,2024-01-09 16:00:00,Card
T000120,S006,C00485,2024-01-09 14:17:00,Card
T000121,S007,C02359,2024-01-09 19:36:00,Cash
T000122,S010,,2024-01-09 15:28:00,Card
T000123,S011,C01884,2024-01-09 17:17:00,Cash
T000124,S020,,2024-01-09 13:39:00,Card
T000125,S022,,2024-01-09 17:03:00,Card
T000126,S025,,2024-01-09 14:31:00,Cash
T000127,S030,,2024-01-09 15:26:00,Card
T000128,S033,C02972,2024-01-09 16:35:00,Cash
T000129,S035,,2024-01-09 20:02:00,Cash
